"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 20 09:08:19 AMT 2024","Sat Jul 20 09:08:19 AMT 2024","189","","test_4_register_login","TestRegLog","","","test_login_unsuccessful","This test verifies that an unsuccessful login returns the correct error response."
"passed","Sat Jul 20 09:08:14 AMT 2024","Sat Jul 20 09:08:17 AMT 2024","3395","","test_1_get_users","TestGetUsers","","","test_delayed_response","This test verifies that the API handles delayed responses correctly."
"passed","Sat Jul 20 09:08:17 AMT 2024","Sat Jul 20 09:08:17 AMT 2024","91","","test_2_get_resource","TestGetResource","","","test_get_list_resources","This test verifies that the API returns the list of resources correctly."
"passed","Sat Jul 20 09:08:14 AMT 2024","Sat Jul 20 09:08:14 AMT 2024","32","","test_1_get_users","TestGetUsers","","","test_get_single_user","This test verifies that the API returns the details of a single user correctly for the specified user ID."
"passed","Sat Jul 20 09:08:18 AMT 2024","Sat Jul 20 09:08:18 AMT 2024","302","","test_3_crud","TestCRUD","","","test_delete_user","This test verifies that an existing user is deleted successfully via a DELETE request."
"passed","Sat Jul 20 09:08:17 AMT 2024","Sat Jul 20 09:08:18 AMT 2024","230","","test_3_crud","TestCRUD","","","test_post_create_user","This test verifies that a new user is created successfully via a POST request."
"passed","Sat Jul 20 09:08:18 AMT 2024","Sat Jul 20 09:08:18 AMT 2024","304","","test_3_crud","TestCRUD","","","test_put_update_user","This test verifies that an existing user is updated successfully via a PUT request."
"passed","Sat Jul 20 09:08:14 AMT 2024","Sat Jul 20 09:08:14 AMT 2024","32","","test_1_get_users","TestGetUsers","","","test_get_list_users","This test verifies that the API returns the list of users correctly for the specified page."
"passed","Sat Jul 20 09:08:17 AMT 2024","Sat Jul 20 09:08:17 AMT 2024","40","","test_2_get_resource","TestGetResource","","","test_get_single_resource_not_found","This test verifies that the API returns a 404 status code when a resource is not found."
"passed","Sat Jul 20 09:08:18 AMT 2024","Sat Jul 20 09:08:19 AMT 2024","304","","test_4_register_login","TestRegLog","","","test_register_successful","This test verifies that a new user is registered successfully via a POST request."
"passed","Sat Jul 20 09:08:14 AMT 2024","Sat Jul 20 09:08:14 AMT 2024","33","","test_1_get_users","TestGetUsers","","","test_get_single_user_not_found","This test verifies that the API returns a 404 status code when a user is not found."
"passed","Sat Jul 20 09:08:19 AMT 2024","Sat Jul 20 09:08:19 AMT 2024","206","","test_4_register_login","TestRegLog","","","test_login_successful","This test verifies that a user can log in successfully via a POST request."
"passed","Sat Jul 20 09:08:19 AMT 2024","Sat Jul 20 09:08:19 AMT 2024","246","","test_4_register_login","TestRegLog","","","test_register_unsuccessful","This test verifies that an unsuccessful registration returns the correct error response."
"passed","Sat Jul 20 09:08:17 AMT 2024","Sat Jul 20 09:08:17 AMT 2024","35","","test_2_get_resource","TestGetResource","","","test_get_single_resource","This test verifies that the API returns the details of a single resource correctly for the specified resource ID."
"passed","Sat Jul 20 09:08:18 AMT 2024","Sat Jul 20 09:08:18 AMT 2024","304","","test_3_crud","TestCRUD","","","test_patch_update_user","This test verifies that an existing user is updated successfully via a PATCH request."
